Item,Planned,Completed,Notes
"Dance or Singing Class",0,100,
"Try clubbing one time",0,100,
"Make a Piece of Pottery",0,100,
"Ice Bathing",0,100,
"Host 5 Gatherings",0,100,
"Swim in the Olympic Pool",0,100,
"Bike-Packing or Multi-Day Hiking Trip",0,100,
"150kms+ Bike Ride",0,0,
"5 New Countries",0,100,
"2 Day Trips Per Month",17,83,
"10 New Mountains",0,80,
"20 Books",10,90,
"Website",0,100,
"20 Postcards to Friends & Family",5,75,
"50 New Recipes",10,60,
"Make a Podcast or Blog",0,100,
"Wall-Worthy Painting",0,100,
"10-Minute German Convo",0,100,
"Play a Song (Well) on the Piano",0,100,
"1 Month Not Being Late Ever",0,100,
"2 Pull-Ups",75,25,
"Qualify for Boston",0,0,
"Ultra-marathon or Triathlon",0,100,
"Publish a Paper",0,100,Used to be "25 Cycle Classes Before May" but alas health issues
"Race in 3 Different Countries",0,100,France + Germany + Finland
